type,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
buy_the_block_phase_1,"845 Clifford Avenue, Rochester, NY","845 Clifford Ave, Rochester, New York, 14621",-77.60050691967754,43.17522460888805,StreetAddress,100.0,M,New York,NY,Monroe County,,Rochester,Upper Falls,POINT (-77.60050691999999 43.17522460900005),A,"845 Clifford Ave, Rochester, NY, 14621, USA",845 Clifford Ave,,,"845 Clifford Ave, Rochester, New York, 14621",,,20.0,,845,819,863,819-863,R,,,Clifford,Ave,,,,,,,,,845 Clifford Ave,,,,,,14621,,USA,United States,ENG,0.0,-77.60050691967754,43.17522460888805,-77.60150691967755,-77.59950691967754,43.17422460888805,43.17622460888805,
buy_the_block_phase_1,"847 Clifford Avenue, Rochester, NY","847 Clifford Ave, Rochester, New York, 14621",-77.60041199999999,43.175196,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60041199999995 43.17519600000003),A,"847 Clifford Ave, Rochester, NY, 14621, USA",847 Clifford Ave,,,"847 Clifford Ave, Rochester, New York, 14621",,,20.0,,847,,,,,,,Clifford,Ave,,,,,,,,,847 Clifford Ave,,,,,,14621,5746,USA,United States,ENG,0.0,-77.60041199999999,43.175196,-77.601412,-77.59941199999999,43.174196,43.176196,
buy_the_block_phase_1,"61 Cuba Place, Rochester, NY","61 Cuba Pl, Rochester, New York, 14605",-77.60607570194226,43.17326980237625,StreetAddress,100.0,M,New York,NY,Monroe County,,Rochester,Upper Falls,POINT (-77.60607570199994 43.17326980200005),A,"61 Cuba Pl, Rochester, NY, 14605, USA",61 Cuba Pl,,,"61 Cuba Pl, Rochester, New York, 14605",,,20.0,,61,61,1,1-61,L,,,Cuba,Pl,,,,,,,,,61 Cuba Pl,,,,,,14605,1201,USA,United States,ENG,0.0,-77.60607570194226,43.17326980237625,-77.60707570194226,-77.60507570194225,43.17226980237625,43.174269802376244,
buy_the_block_phase_1,"West half of 90 Cuba Place, Rochester, NY","90 Cuba Pl, Rochester, New York, 14605",-77.60528099999999,43.17314400000001,PointAddress,96.88,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60528099999993 43.17314400000004),A,"90 Cuba Pl, Rochester, NY, 14605, USA",90 Cuba Pl,,,"90 Cuba Pl, Rochester, New York, 14605",,,20.0,,90,,,,,,,Cuba,Pl,,,,,,,,,90 Cuba Pl,,,,,,14605,1245,USA,United States,ENG,0.0,-77.60528099999999,43.17314400000001,-77.606281,-77.60428099999999,43.17214400000001,43.174144000000005,WEST HALF OF
buy_the_block_phase_1,"East half of 90 Cuba Place, Rochester, NY","90 Cuba Pl, Rochester, New York, 14605",-77.60528099999999,43.17314400000001,PointAddress,96.88,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60528099999993 43.17314400000004),A,"90 Cuba Pl, Rochester, NY, 14605, USA",90 Cuba Pl,,,"90 Cuba Pl, Rochester, New York, 14605",,,20.0,,90,,,,,,,Cuba,Pl,,,,,,,,,90 Cuba Pl,,,,,,14605,1245,USA,United States,ENG,0.0,-77.60528099999999,43.17314400000001,-77.606281,-77.60428099999999,43.17214400000001,43.174144000000005,EAST HALF OF
buy_the_block_phase_1,"11 Dudley Street, Rochester, NY","11 Dudley St, Rochester, New York, 14605",-77.600439,43.17473699999999,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60043899999994 43.17473700000005),A,"11 Dudley St, Rochester, NY, 14605, USA",11 Dudley St,,,"11 Dudley St, Rochester, New York, 14605",,,20.0,,11,,,,,,,Dudley,St,,,,,,,,,11 Dudley St,,,,,,14605,1303,USA,United States,ENG,0.0,-77.600439,43.17473699999999,-77.601439,-77.59943899999999,43.173736999999996,43.17573699999999,
buy_the_block_phase_1,"14 Dudley Street, Rochester, NY","14 Dudley St, Rochester, New York, 14605",-77.6000655,43.174746,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60006549999997 43.17474600000003),A,"14 Dudley St, Rochester, NY, 14605, USA",14 Dudley St,,,"14 Dudley St, Rochester, New York, 14605",,,20.0,,14,,,,,,,Dudley,St,,,,,,,,,14 Dudley St,,,,,,14605,1304,USA,United States,ENG,0.0,-77.6000655,43.174746,-77.6010655,-77.5990655,43.173746,43.175746,
buy_the_block_phase_1,"15 Dudley Street, Rochester, NY","15 Dudley St, Rochester, New York, 14605",-77.600493,43.174926,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60049299999997 43.17492600000003),A,"15 Dudley St, Rochester, NY, 14605, USA",15 Dudley St,,,"15 Dudley St, Rochester, New York, 14605",,,20.0,,15,,,,,,,Dudley,St,,,,,,,,,15 Dudley St,,,,,,14605,1303,USA,United States,ENG,0.0,-77.600493,43.174926,-77.601493,-77.599493,43.173926,43.175926,
buy_the_block_phase_1,"14 Thomas Street, Rochester, NY","14 Thomas St, Rochester, New York, 14605",-77.604219,43.17228,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60421899999994 43.17228000000006),A,"14 Thomas St, Rochester, NY, 14605, USA",14 Thomas St,,,"14 Thomas St, Rochester, New York, 14605",,,20.0,,14,,,,,,,Thomas,St,,,,,,,,,14 Thomas St,,,,,,14605,1238,USA,United States,ENG,0.0,-77.604219,43.17228,-77.605219,-77.603219,43.17128,43.17328,
buy_the_block_phase_1,"22 Thomas Street, Rochester, NY","22 Thomas St, Rochester, New York, 14605",-77.6042235,43.172685,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60422349999999 43.17268500000006),A,"22 Thomas St, Rochester, NY, 14605, USA",22 Thomas St,,,"22 Thomas St, Rochester, New York, 14605",,,20.0,,22,,,,,,,Thomas,St,,,,,,,,,22 Thomas St,,,,,,14605,1238,USA,United States,ENG,0.0,-77.6042235,43.172685,-77.60522350000001,-77.6032235,43.171685000000004,43.173685,
